Date,Price,Open,High,Low,Volume,Chg%
2018-05-03,1643.1589999999999,1639.0249999999999,1650.738,1635.633,210,0.25
2018-05-02,1639.078,1644.06,1661.55,1635.58,500,0.17
2018-05-01,1636.322,1635.315,1638.6009999999999,1628.955,860,-0.24
2018-04-30,1640.191,1647.77,1647.77,1637.276,6380,-0.58
2018-04-27,1649.837,1648.353,1653.017,1645.491,6100,-0.09
2018-04-26,1651.374,1656.3029999999999,1657.628,1648.936,6270,-0.46
2018-04-25,1658.953,1658.7939999999999,1660.172,1654.395,6170,0.12
2018-04-24,1656.886,1651.48,1657.84,1646.604,6350,0.31
2018-04-23,1651.692,1658.8999999999999,1658.8999999999999,1648.83,6670,-0.48
2018-04-20,1659.642,1664.465,1666.32,1658.105,6020,-0.52
2018-04-19,1668.387,1666.797,1670.4009999999998,1659.165,8780,0.22
2018-04-18,1664.73,1655.879,1668.599,1652.3809999999999,9900,0.49
2018-04-17,1656.6209999999999,1650.367,1657.84,1647.7169999999999,9190,0.29
2018-04-16,1651.8509999999999,1645.915,1655.031,1645.6499999999999,8090,0.52
2018-04-13,1643.2649999999999,1638.866,1646.975,1630.81,9890,0.35
2018-04-12,1637.541,1652.328,1654.501,1635.421,13210,-1.11
2018-04-11,1655.932,1633.46,1665.366,1633.46,18120,1.45
2018-04-10,1632.2939999999999,1622.489,1633.407,1621.0049999999999,8760,0.4
2018-04-09,1625.7749999999999,1621.8,1626.729,1619.4679999999998,7600,0.23
2018-04-06,1622.065,1620.263,1624.45,1611.889,13420,0.33
2018-04-05,1616.7649999999999,1669.5,1669.5,1613.85,60,-1.23
2018-04-04,1636.9579999999999,1624.98,1641.5159999999998,1621.8,70,0.85
2018-04-03,1623.125,1637.329,1637.329,1619.2559999999999,330,-1.09
2018-04-02,1640.933,1620.74,1647.24,1617.03,1380,1.76
2018-03-29,1612.578,1615.546,1620.634,1611.359,3200,-0.3
2018-03-28,1617.454,1628.796,1629.75,1615.97,8560,-0.65
2018-03-27,1628.001,1636.163,1637.0639999999999,1626.305,9460,-0.56
2018-03-26,1637.117,1634.52,1638.495,1630.863,7330,-0.04
2018-03-23,1637.753,1619.1499999999999,1640.191,1619.1499999999999,13640,1.29
2018-03-22,1616.818,1617.666,1622.595,1615.0159999999998,11330,0.14
2018-03-21,1614.5919999999999,1606.43,1618.567,1605.052,11320,0.59
2018-03-20,1605.052,1610.829,1610.829,1601.6599999999999,9130,-0.49
2018-03-19,1612.896,1601.7659999999998,1614.009,1596.837,11620,0.6
2018-03-16,1603.3029999999999,1604.575,1609.292,1599.752,10020,-0.21
2018-03-15,1606.642,1614.168,1615.1219999999998,1605.264,8330,-0.33
2018-03-14,1611.889,1611.147,1618.885,1609.292,9560,0.09
2018-03-13,1610.511,1608.55,1611.677,1601.7659999999998,10980,0.15
2018-03-12,1608.02,1610.1399999999999,1612.896,1605.052,7370,-0.22
2018-03-09,1611.624,1611.889,1615.1219999999998,1605.37,10960,-0.09
2018-03-08,1613.108,1616.023,1618.249,1610.6699999999998,7750,-0.08
2018-03-07,1614.433,1622.86,1623.867,1611.412,10100,-0.35
2018-03-06,1620.104,1611.2,1625.4569999999999,1609.345,10810,0.46
2018-03-05,1612.7369999999999,1611.2,1618.355,1606.43,180,-0.14
2018-03-02,1615.069,1613.585,1620.475,1611.2,150,0.97
